code,city,lat,lon,hasLab,osm_dist_wwtp_m,osm_dist_farmland_m,osm_urban_frac_2km,osm_nearest_wwtp_name,distanceToSewageStations,distChampCulture,urbanPct2000m,healthRiskScore,scaledPathogenRisk,scaledFecalRisk,scaledArgRisk
BN17,Benevento,41.13221,14.7127,True,2268.7,467.8,0.0297,Impianto di depurazione del comune di Castelpoto,3027.62,469.52,3.44,0.3801,0.4909,0.6187,0.0307
BN18,Benevento,41.15126,14.70936,True,848.0,25.6,0.0399,Impianto di depurazione del comune di Castelpoto,1126.08,25.66,4.85,0.4021,0.3149,0.4429,0.4485
BN19,Benevento,41.185791,14.719005,True,3915.1,373.0,0.0535,Depuratore Acque Reflue,5223.65,373.79,0.35,0.2408,0.2572,0.3391,0.1262
BN20,Benevento,41.213825,14.68999,True,37.7,303.7,0.0446,Depuratore Acque Reflue,50.12,303.93,8.22,0.4207,0.3881,0.5078,0.3661
O17,Oslo,59.9078,10.8128,True,14563.1,1653.5,0.4922,,29112.26,1663.79,48.8,0.4198,0.3364,0.4261,0.497
O1,Oslo,59.9561,10.7153,True,13811.5,77.4,0.5047,,27576.93,77.92,38.74,0.2579,0.0993,0.2919,0.3826
O2,Oslo,59.9514,10.6806,True,11840.6,1862.2,0.6626,,23645.55,1864.45,86.17,0.2414,0.0495,0.2932,0.3814
O3,Oslo,59.9475,10.7111,True,13220.3,1002.5,0.613,,26387.52,1009.79,56.09,0.2473,0.1248,0.3136,0.3035
O5,Oslo,59.9308,10.6769,True,10812.8,1555.1,0.5825,,21572.4,1566.38,65.16,0.2321,0.0248,0.385,0.2865
O4,Oslo,59.9308,10.6778,True,10861.0,1551.5,0.5855,,21668.56,1562.79,65.06,0.2665,0.0248,0.2344,0.5403
O6,Oslo,59.8628,10.8458,True,13512.0,1966.2,0.2376,,26959.25,1979.52,18.4,0.18,0.0752,0.1625,0.3025
O7,Oslo,59.8511,10.8164,True,11534.5,1056.3,0.4859,,23009.42,1061.26,49.85,0.278,0.0993,0.2728,0.462
O8,Oslo,59.8433,10.7847,True,9590.1,1578.8,0.3393,,19129.08,1589.94,39.31,0.3041,0.149,0.3018,0.4616
O9,Oslo,59.9425,10.7181,True,13396.2,1582.8,0.608,,26732.06,1593.92,51.16,0.1324,0.0,0.0,0.3972
O10,Oslo,59.9414,10.7097,True,12913.1,1681.3,0.6335,,25768.33,1693.45,62.84,0.2114,0.0249,0.3387,0.2706
O11,Oslo,59.9297,10.6594,True,9841.9,1790.7,0.5874,,19636.73,1800.34,69.71,0.3696,0.1734,0.3317,0.6038
O12,Oslo,59.9356,10.6736,True,10798.8,2104.5,0.6584,,21549.35,2119.51,69.37,0.3675,0.0997,0.3184,0.6845
O13,Oslo,59.945,10.6503,True,10011.9,1328.2,0.6563,,19994.8,3162.29,65.42,0.32,0.1242,0.295,0.5408
O14,Oslo,59.9392,10.8214,True,17397.9,1734.6,0.4266,,34814.1,1747.01,48.2,0.2469,0.0249,0.112,0.6038
O15,Oslo,59.9206,10.8006,True,15085.2,1384.8,0.5031,,30176.28,1387.31,48.72,0.2028,0.0495,0.1143,0.4447
O16,Oslo,59.9044,10.7944,True,13556.0,2070.8,0.4403,,27103.02,2078.69,46.56,0.4085,0.251,0.4781,0.4964
O18,Oslo,59.9219,10.8369,True,16609.1,607.2,0.4792,,33208.44,608.43,51.15,0.329,0.1488,0.4071,0.4311
O19,Oslo,59.9525,10.9017,True,19209.5,3027.1,0.417,Flateby Renseanlegg,43121.69,3659.25,40.78,0.2569,0.1739,0.3078,0.289
O20,Oslo,59.9432,10.6736,True,11103.6,2543.9,0.7392,,22165.9,2628.47,70.95,0.2978,0.1253,0.3354,0.4327
